sensor_left,sensor_center,sensor_right,steering_output
323.78375005248256,324.52515703984795,326.9759697172338,-0.20422762820326967
301.1852340510438,299.83001478317254,299.857569047364,0.11158209686829934
299.2504259234258,300.47658564150623,301.73913498945683,-0.1625991939986608
343.89346496757855,344.9202652784934,344.6184041304475,-0.01860925911182733
332.37599747725625,335.0435869798456,333.6564375706009,-0.06957701397198776
326.5334383355327,324.9844715403125,328.42923332272824,-0.10094329829828552
318.8050299830586,324.3587814408894,320.1041954768807,-0.05899197975737081
316.5823832690004,316.2458542406927,317.2409888827767,-0.026524681888358825
313.272986540508,314.705256890962,313.81547632091923,-0.025963330686911378
310.53505162110866,311.12032574219074,311.214269770938,-0.035328191185648734
308.2385727115371,308.7199650492086,310.45333531916333,-0.1260935749592818
308.82424455838424,303.6725681746112,308.1782537574231,0.06090707413393204
307.57852084439367,308.1294339694819,306.2849895775995,0.07115196799803812
305.48010446383074,303.3020178419915,320.757162764795,-0.929558810725797
304.6438063114727,302.39748339867833,302.08126504314083,0.3065230591095548
301.6013568948765,302.0881408231401,325.51774446990345,-1.4606086671849348
300.71358080896516,301.739438720972,304.01132527393554,0.041299207852046604
300.72688534086006,300.68027565601136,303.0868927995168,-0.1086230028697014
302.106697523286,301.0131041484181,299.8336696942336,0.15998174432971213
300.54636097299965,302.54604726445547,301.36786904622477,-0.07202076268403118
299.0164675274965,301.59258041736695,299.9244464715611,-0.0462636559116254
300.9904490464429,300.3296724454396,486.5699044054406,-11.125687532099215
302.53078362758276,301.5111150179544,300.79321360869346,1.960048754723335
299.8190520306081,298.4909401486522,298.99635694419453,0.03198600499591976
299.8505517651525,300.1187195051515,300.4146119272239,-0.04207056058842113
324.65895165054025,328.28548485168125,329.5524518509847,-0.2879694104059536
299.47918387192,299.9880362044957,300.7363365234112,-0.02649415708502715
299.6255058034054,300.1579726939438,298.8834504947975,0.05709484503138697
343.8380318288251,345.9709233517544,346.33497117504146,-0.15723691385906194
337.61080552950807,336.45830841907264,336.69348871744285,0.08000840218607722
329.9893471376864,330.5796327107603,329.3787485969056,0.02746274432619657
323.51865757563485,322.9672562508194,325.14588398400537,-0.10373956991003923
316.36730622246785,320.23462665230966,318.49911484704137,-0.11163625339070621
312.15661700565926,313.5012829673371,314.1219183124094,-0.09659999215927201
310.49022382000334,310.853711305633,311.8936830220145,-0.06455453905316859
310.9408790463689,310.13997871184085,308.03756643877284,0.18823334847587375
308.2903551711312,306.995212336456,304.97893737176423,0.16965194188605665
306.42976563493914,306.1212559581774,305.8049480255422,0.004374878570146165
303.6937910991996,304.9119764691042,303.7611405079997,-0.010289140621976002
302.07492753055897,303.9700623600941,302.43085910088246,-0.020682400131408374
301.1377361993168,301.6170875723005,301.11182283932965,0.005114117302464365
300.23210151017736,300.7661462282605,301.72722696458743,-0.0899666608644759
298.02982013789415,301.2172427251322,297.781133343394,0.02987246221410942
301.13558558455844,299.60803146682434,302.6752481113139,-0.09486661955033016
298.7983844674316,298.7909685965578,300.2717828614381,-0.0730072783728349
300.03008628047445,300.16014163817044,297.45573917022597,0.16919481055497387
298.42768401466105,300.9330180054054,299.7032296714951,-0.10227621051252642
300.47043267120176,299.0007079664621,298.74991338784037,0.11598661357002414
298.5763051005924,300.73634749092963,331.6261931570584,-2.000198476221577
298.3771369253061,298.5850591719647,301.3833295595833,0.15012732250803026
299.5853323055497,299.13099392412175,299.705399621958,0.02285788735827225
299.8686818928101,299.70067498108864,301.09048352895,-0.07210742500431082
300.54074618398926,299.8121625533949,337.7282610454845,-2.219032875328315
300.0142007283194,300.4168302796216,301.27611507581565,0.2961602877651768
299.413075334866,300.96969221629763,301.0604351291394,-0.08622244418144306
301.6624681576842,302.6950891821168,303.07594189772175,-0.06833482645951847
301.47306243791274,299.79042761372864,302.74456505278175,-0.06215541949176498
302.0252423745412,298.44102063941244,302.43385479359995,-0.01180171899483355
299.89003245333737,300.2731318114104,300.2533632682952,-0.017713724706881068
301.11731131791544,297.2326414120083,302.51568028865944,-0.08026883009506208
301.55210537238435,300.4817365100399,300.7400213046782,0.06270873376981001
