53491,61829,4031,45610,19212,17569
52749,62231,3398,52578,19419,16953
53082,61879,3337,58119,20865,16639
53673,61501,5392,60546,23158,17376
53234,61783,6274,59901,25036,18794
54001,61529,6953,56379,26544,19913
53101,61742,6907,52563,26491,20190
51762,62610,6011,51884,24763,18983
51111,63044,4304,53556,23522,17447
51928,62763,3116,54895,24667,16086
51614,64188,2422,56036,26603,15624
51846,63278,2059,56638,31470,15531
51681,63478,2076,57987,32767,13095
52087,64396,1532,60359,32767,11464
53438,790,2834,62524,32556,11345
53728,1676,3338,63767,27753,13431
57546,931,4526,62987,22960,16860
54360,2915,4841,62041,16119,21237
54141,1234,4248,60058,7059,24546
53511,945,3619,60705,63879,26532
52821,2351,907,62409,55526,27073
51684,3097,63364,65319,51142,26935
50952,1471,63601,2629,51174,25846
50009,64675,64398,6238,52281,22491
48834,65322,65374,7500,54939,18637
48491,1256,306,5745,57894,15456
48564,1423,1823,4033,58369,12086
48098,1539,1215,4251,57839,8533
48438,1062,2625,3871,58451,5736
49344,2073,3342,2312,57867,4149
49932,2910,3347,2378,55949,4297
50413,3433,3165,2076,53077,5071
50362,3611,2383,1851,48549,5318
49664,3325,3077,3826,43885,4993
48038,2922,3077,5720,44645,5495
48140,2558,3061,5306,49206,6124
48354,1392,3873,2578,52593,5025
48503,1326,4914,1764,51561,1980
48947,2193,5173,1771,46532,64454
48855,2519,5913,2172,41716,63324
49073,3421,5698,2031,40589,64272
50125,3344,5837,65423,40664,72
49499,3542,5758,64470,39763,697
48074,3228,6143,65283,38614,1615
47758,3364,5846,1560,39416,2649
47866,3064,4808,2030,43295,3770
48881,2263,5236,1706,47057,2853
49052,1970,6326,2857,45778,64435
49964,2804,6899,4825,43268,60469
49723,3018,5737,4155,44845,59020
50116,3537,7393,2843,47721,58746
48663,3221,7906,3321,49437,59176
49482,3719,9183,4104,48062,58932
50342,2947,10154,4594,44735,57546
50144,3574,10837,3574,40486,56433
50072,3429,11199,2721,34811,55382
50069,2636,10773,1861,32769,55308
50235,3156,9897,1290,32769,56611
49810,4081,8403,174,36019,58064
49610,3574,8063,65405,41000,59036
50038,2867,7189,64999,45035,56787
51150,1711,7727,446,46026,52082
52412,1601,8786,4283,43948,47103
52986,2568,9717,7477,40785,44164
53834,3054,10367,8463,39760,44724
54145,3112,11212,9829,41661,48800
53900,3834,12547,9125,44400,53048
53544,3097,11869,7469,46932,56281
53632,2309,13130,5535,48785,57272
53604,726,12476,3056,48062,54879
52597,65003,13184,3105,44827,50524
52688,65201,12408,5257,43212,47212
53046,803,11047,5953,45251,46911
53714,1656,11803,7753,49576,49298
54782,1890,12359,8694,53888,51672
55357,2674,13400,7931,56643,53448
55934,2907,14223,5736,57105,54419
56316,1518,14977,4536,55243,54876
55768,691,14615,4968,51688,53930
55396,65,14106,5977,47668,52741
55618,65149,14118,7608,44901,52714
55683,65036,14297,8829,43461,52905
55293,65340,14503,8838,43191,52686
56019,347,14817,7213,43589,52084
57022,1240,15001,4975,44245,51114
57256,2085,15140,3154,44827,50612
58280,1806,15037,1626,45088,51089
58858,2406,14793,65450,45136,51038
58594,1939,13777,63667,45955,50904
59030,1856,13502,62583,48606,50607
59168,1703,12847,62672,52259,49975
58782,1655,13000,62910,55825,50212
59738,1971,13564,63379,58526,51028
60909,1712,14497,64810,60930,51385
60597,1584,14287,570,63134,51645
61000,2255,14879,1358,65019,53141
61439,2701,14687,1348,1042,55238
61267,2292,14667,575,1990,57369
60810,1417,15389,693,2605,59295
61055,286,16016,1625,2419,60251
60369,64799,16595,4100,1213,60067
59796,64383,16369,4560,64616,59585
60709,63888,16561,3526,63572,57809
60614,64145,16588,2531,62323,54847
61166,64451,16360,2363,61000,52717
60894,64784,15043,2970,58683,51872
60893,65217,15012,3849,58183,53024
60812,508,14701,4948,58742,54090
60700,649,14450,5537,59898,54908
60592,889,14417,5903,61267,56043
60778,855,14241,6283,62466,57077
60620,1084,14607,6688,63312,57511
60676,65417,14339,7611,64706,56867
60823,65253,14582,8241,867,54673
60538,65474,14169,8273,3065,52602
60997,66,13829,7878,5186,51687
60778,2,13623,8573,7597,51830
60644,65419,13537,10086,10366,52677
61521,435,14647,10582,12866,53297
62259,1110,16560,10046,13129,53799
